role,series_name,expected_source_name,expected_identity_text,source_name,source_url,mapping_status,fetched_at,returned_source_name,date,source_sales,current_sales,difference,comparison
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,2026-08-29T11:00:56+08:00,名爵HS,2022-12-01,37,37.0,0.0,exact
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2020-01-01,0,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2020-02-01,0,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2020-03-01,0,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2020-04-01,0,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2020-05-01,0,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2020-06-01,0,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2020-07-01,0,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2020-08-01,0,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2020-09-01,0,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2020-10-01,0,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2020-11-01,0,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2020-12-01,0,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2021-01-01,0,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2021-02-01,0,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2021-03-01,13,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2021-04-01,973,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2021-05-01,705,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2021-06-01,746,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2021-07-01,649,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2021-08-01,719,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2021-09-01,850,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2021-10-01,838,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2021-11-01,1064,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2021-12-01,1344,,,outside_panel
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2022-01-01,761,761.0,0.0,exact
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2022-02-01,415,415.0,0.0,exact
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2022-03-01,884,884.0,0.0,exact
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2022-04-01,540,540.0,0.0,exact
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2022-05-01,791,791.0,0.0,exact
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2022-06-01,500,500.0,0.0,exact
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2022-07-01,963,963.0,0.0,exact
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2022-08-01,740,740.0,0.0,exact
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2022-09-01,354,354.0,0.0,exact
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2022-10-01,395,395.0,0.0,exact
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2022-11-01,1,1.0,0.0,exact
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,2026-08-29T11:00:56+08:00,威马W6,2022-12-01,20,20.0,0.0,exact
target,宝骏530,宝骏530,宝骏,车主手册,https://www.icauto.com.cn/rank/car_101.html,mapped,2026-08-29T11:00:56+08:00,宝骏530,2020-01-01,5986,,,outside_panel
